name,price,profit
Share-MOEX,40.6,16.69
Share-GBGY,27.08,34.09
Share-FJTI,33.5,20.81
Share-LGDP,15.26,3.4
Share-GEBJ,5.87,37.95
Share-GGNT,33.39,7.88
Share-TNOV,34.54,22.32
Share-CKCJ,25.49,10.37
Share-FUDY,7.03,19.96
Share-UZLL,16.66,19.4
Share-EMFC,32.38,30.46
Share-IZKC,40.45,0.8
Share-PWAT,24.36,9.64
Share-NWWZ,45.76,4.76
Share-AJGB,28.6,36.45
Share-SAPZ,22.52,11.93
Share-MNSA,44.49,22.76
Share-HATC,43.45,34.14
Share-QUIN,30.69,10.17
Share-CZFA,38.63,16.72
Share-GMHT,40.95,31.02
Share-GDNK,38.36,16.88
Share-TFWQ,25.49,17.62
Share-MHUQ,29.91,37.89
Share-PZAR,33.75,23.1
Share-QBGQ,19.63,25.52
Share-HPRB,33.43,32.43
Share-ENZZ,37.24,38.19
Share-OLFJ,43.8,28.11
Share-SJWC,31.98,1.77
Share-CGSX,32.29,30.11
Share-PSOJ,16.49,3.82
Share-WERP,24.67,35.15
Share-LRIX,9.94,9.25
Share-XHEE,23.46,22.49
Share-BOSL,41.4,10.68
Share-DEHD,30.97,13.34
Share-IOLP,19.28,11.24
Share-HOJS,34.19,8.58
Share-ZIJI,42.07,30.83
Share-YCGH,24.45,38.59
Share-ROOM,15.06,39.23
Share-MIHK,16.76,22.48
Share-ZZKC,17.92,28.33
Share-GDZR,25.11,26.67
Share-BLOZ,18.48,20.11
Share-XBET,26.57,11.3
Share-GWZB,14.73,24.83
Share-MJLJ,25.22,32.46
Share-PUWX,32.05,2.19
Share-FFZA,4.57,34.5
Share-MZYQ,38.88,15.02
Share-LOMC,30.82,1.87
Share-QWTM,31.88,1.41
Share-KLNI,49.68,3.12
Share-IWYJ,28.61,29.58
Share-XYUA,24.2,16.15
Share-OAVO,24.38,38.66
Share-SEHV,34.6,7.55
Share-UBWD,26.4,35.05
Share-EBJX,34.76,35.75
Share-BUAC,14.38,12.7
Share-XQII,13.42,39.51
Share-XAIO,31.75,32.79
Share-YHFO,15.18,20.6
Share-KNRV,5.85,4.45
Share-UYMS,24.78,7.08
Share-ZNVI,22.91,18.8
Share-BMHD,4.85,38.29
Share-YWCY,43.03,22.51
Share-GHIS,22.48,35.15
Share-BUGW,16.09,8.41
Share-KGJS,20.09,12.89
Share-HGSA,28.15,34.04
Share-GJHJ,38.56,14.7
Share-IADB,30.62,2.31
Share-DYVD,0.28,10.25
Share-XXGR,22.63,16.91
Share-RHIE,37.8,14.57
Share-ERXT,23.33,25.49
Share-LUNI,27.4,28.93
Share-EVZE,36.15,7.9
Share-YIFQ,15.85,34.64
Share-ERQY,17.3,0.71
Share-UJHM,18.19,20.96
Share-QBQM,39.76,5.1
Share-RYPH,43.47,2.19
Share-PLKN,28.24,30.97
Share-RURD,31.36,8.98
Share-MDLX,46.12,24.06
Share-IRSP,33.68,11.49
Share-XYMR,14.49,35.3
Share-MZYO,31.68,31.59
Share-DDLU,18.94,36.42
Share-GPGJ,23.39,21.54
Share-OSAQ,26.78,37.22
Share-SNYR,16.44,4.49
Share-PVAU,43.11,30.85
Share-PACD,24.19,12.97
Share-HQTP,23.49,6.73
Share-UPCV,32.45,38.9
Share-TBEA,6.85,3.71
Share-QWMB,21.45,15.82
Share-FSGV,16.41,22.64
Share-CREF,18.65,11.41
Share-RWJV,29.66,13.61
Share-XTJO,14.06,4.56
Share-PQXE,31.45,7.0
Share-RNSZ,28.16,8.96
Share-KPST,19.88,4.47
Share-UOPO,21.9,6.11
Share-SHKO,19.14,19.71
Share-BOGI,8.12,9.59
Share-IFCZ,35.97,36.97
Share-ZTKH,25.18,25.6
Share-MXLA,36.24,22.58
Share-VWRL,14.74,3.04
Share-BPWV,19.59,22.62
Share-DWSK,29.49,39.35
Share-ZFSS,42.55,25.23
Share-PNLH,36.64,4.51
